column,dtype,missing_%,n_unique,sample_values
id,int64,0.0,120488,"24890, 24891, 24892"
upfront_charges,float64,0.0,48607,"2604.9, 595.0, 0.0"
interest_rate_spread,float64,0.0,21579,"0.3907, 0.2, 0.681"
ltv,float64,0.0,7783,"98.72881356, 75.15243902, 80.01968504"
income,float64,0.0,947,"1740.0, 4980.0, 9480.0"
credit_score,float64,0.0,401,"758.0, 552.0, 834.0"
property_value,float64,0.0,372,"118000.0, 418000.0, 508000.0"
loan_amount,float64,0.0,202,"116500.0, 206500.0, 406500.0"
rate_of_interest,float64,0.0,129,"3.99, 4.56, 4.25"
dtir1,float64,0.0,57,"45.0, 39.0, 46.0"
term,float64,0.0,26,"360.0, 300.0, 180.0"
age,object,0.0,7,"25-34, 55-64, 35-44"
gender,object,0.0,4,"sex not available, male, joint"
loan_purpose,object,0.0,4,"p1, p4, p3"
total_units,object,0.0,4,"1u, 2u, 3u"
credit_type,object,0.0,4,"exp, equi, crif"
region,object,0.0,4,"south, north, central"
loan_type,object,0.0,3,"type1, type2, type3"
occupancy_type,object,0.0,3,"pr, sr, ir"
loan_limit,object,0.0,2,"cf, ncf"
approv_in_adv,object,0.0,2,"nopre, pre"
credit_worthiness,object,0.0,2,"l1, l2"
open_credit,object,0.0,2,"nopc, opc"
business_or_commercial,object,0.0,2,"nob/c, b/c"
neg_ammortization,object,0.0,2,"not_neg, neg_amm"
interest_only,object,0.0,2,"not_int, int_only"
lump_sum_payment,object,0.0,2,"not_lpsm, lpsm"
construction_type,object,0.0,2,"sb, mh"
secured_by,object,0.0,2,"home, land"
co-applicant_credit_type,object,0.0,2,"cib, exp"
submission_of_application,object,0.0,2,"to_inst, not_inst"
security_type,object,0.0,2,"direct, indriect"
status,float64,0.0,2,"1.0, 0.0"
year,int64,0.0,1,2019
